,train,val,test
Baseline,0.4659177059551127,0.2950357325831056,0.7371342537844163
BSC,0.6417477164279234,0.6216711452652051,0.7226180991871105
Gradient Boost,0.4571882033381416,0.2229672060433225,0.3704748434349728
Feedforward,0.4811929762363434,0.2307424396276474,0.32678815722465515
Feedforward (multistep),0.39827102422714233,0.21416223049163818,0.3037171959877014
