,train,val,test
Baseline,26.11969998469309,59.5881949210707,45.02340425531915
BSC,51.38270589287442,134.67029018068814,39.333957582801155
Gradient Boost,13.209593905530598,39.616850728515956,16.873817538569476
Feedforward,15.946965217590332,39.016990661621094,18.49740219116211
Feedforward (multistep),15.761469841003418,37.034549713134766,16.08991241455078
